task_id,condition,rep,passed,cost_usd,latency_s,ttft_s,generate_s,input_tokens,output_tokens,cache_read_tokens,top_tier_output_tokens,changed_file_chars,diff_chars,edit_fraction,draft_failing_tests,first_passing_tier,stopped_early_at_tier,tiers_run,gate_decisions,tiers,error
c03_xfile_rename__medium,cascade-2-diff-gated,1,1,0.038349,19.901,2.669,17.231,6718,3112,10279,369,5731.0,2990.0,0.5217239574245333,1,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c03_xfile_rename__medium,cascade-2-diff-gated,2,0,0.046837,18.885,2.573,16.311,4514,2292,10279,1280,5723.0,2547.0,0.44504630438581166,,,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c03_xfile_rename__medium,cascade-3-diff-gated,0,0,0.070365,26.673,4.916,21.756,10418,2711,10279,835,5723.0,2547.0,0.44504630438581166,,,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c03_xfile_rename__medium,cascade-3-diff-gated,1,0,0.055134,26.997,6.129,20.866,9243,2656,14757,1129,5723.0,2547.0,0.44504630438581166,,,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c03_xfile_rename__medium,cascade-3-diff-gated,2,0,0.056082,25.523,4.658,20.863,8797,2674,14757,1144,5723.0,2547.0,0.44504630438581166,,,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__medium,haiku-scratch,0,0,0.007667,3.717,0.789,2.927,4962,541,0,,,,,,,,,,,
c04_signature_change__medium,haiku-scratch,1,0,0.007462,4.378,0.981,3.395,4962,500,0,,,,,,,,,,,
c04_signature_change__medium,haiku-scratch,2,0,0.007667,3.809,1.370,2.438,4962,541,0,,,,,,,,,,,
c04_signature_change__medium,opus-scratch,0,0,0.037872,5.854,1.227,4.626,4795,532,1194,,,,,,,,,,,
c04_signature_change__medium,opus-scratch,1,1,0.048163,7.116,1.541,5.574,2,704,1194,,,,,,,,,,,
c04_signature_change__medium,opus-scratch,2,1,0.048463,7.582,1.415,6.166,2,716,1194,,,,,,,,,,,
c04_signature_change__medium,cascade-2-diff-gated,0,1,0.056653,9.158,2.818,6.340,5138,860,0,174,1780.0,942.0,0.5292134831460674,1,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__medium,cascade-2-diff-gated,1,1,0.018782,9.080,2.765,6.315,4675,863,10388,177,1780.0,942.0,0.5292134831460674,1,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__medium,cascade-2-diff-gated,2,1,0.018467,9.527,3.150,6.377,4675,816,10388,173,1780.0,942.0,0.5292134831460674,1,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c04_signature_change__medium,cascade-3-diff-gated,0,1,0.045796,24.416,9.205,15.210,10285,1612,10388,25,1780.0,942.0,0.5292134831460674,1,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__medium,cascade-3-diff-gated,1,1,0.030619,17.973,5.048,12.923,9094,1462,14905,24,1780.0,942.0,0.5292134831460674,1,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c04_signature_change__medium,cascade-3-diff-gated,2,1,0.031199,18.445,3.901,14.542,9094,1578,14905,24,1780.0,942.0,0.5292134831460674,1,1,,3,t0:Nok;t1:NX,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,haiku-scratch,0,0,0.007656,3.873,0.586,3.285,5096,512,0,,,,,,,,,,,
c08_add_feature__medium,haiku-scratch,1,0,0.007466,3.867,0.693,3.174,5096,474,0,,,,,,,,,,,
c08_add_feature__medium,haiku-scratch,2,0,0.007466,3.684,0.513,3.170,5096,474,0,,,,,,,,,,,
c08_add_feature__medium,opus-scratch,0,1,0.042692,6.899,1.261,5.634,4914,701,1194,,,,,,,,,,,
c08_add_feature__medium,opus-scratch,1,1,0.048932,7.005,1.262,5.739,2,705,1194,,,,,,,,,,,
c08_add_feature__medium,opus-scratch,2,1,0.049332,7.202,1.271,5.927,2,721,1194,,,,,,,,,,,
c08_add_feature__medium,cascade-2-diff-gated,0,1,0.063904,12.074,2.630,9.444,862,1194,0,388,2699.0,1060.0,0.39273805113004817,2,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-diff-gated,1,1,0.020007,11.879,2.761,9.118,538,1179,14818,385,2699.0,1060.0,0.39273805113004817,2,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-diff-gated,2,1,0.019937,12.111,3.095,9.015,538,1125,14818,395,2699.0,1060.0,0.39273805113004817,2,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff-gated,0,1,0.041880,19.331,4.644,14.686,1900,1592,18995,267,2699.0,1119.0,0.41459799925898483,2,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff-gated,1,1,0.026302,19.599,4.725,14.873,874,1562,23646,247,2699.0,1060.0,0.39273805113004817,2,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff-gated,2,1,0.025667,18.251,5.479,12.771,874,1475,23646,237,2699.0,1060.0,0.39273805113004817,2,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__medium,haiku-scratch,0,0,0.007571,5.505,0.505,4.998,5046,505,0,,,,,,,,,,,
c12_hygiene__medium,haiku-scratch,1,0,0.007531,5.708,1.088,4.619,5046,497,0,,,,,,,,,,,
c12_hygiene__medium,haiku-scratch,2,0,0.007521,4.110,0.542,3.566,5046,495,0,,,,,,,,,,,
c12_hygiene__medium,opus-scratch,0,0,0.033517,5.342,1.848,3.492,4869,343,1194,,,,,,,,,,,
c12_hygiene__medium,opus-scratch,1,1,0.062726,11.291,1.432,9.854,2,1268,1194,,,,,,,,,,,
c12_hygiene__medium,opus-scratch,2,1,0.062951,11.268,1.339,9.924,2,1277,1194,,,,,,,,,,,
c12_hygiene__medium,cascade-2-diff-gated,0,1,0.077124,14.791,2.433,12.357,884,1603,0,962,1529.0,1527.0,0.9986919555264879,5,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__medium,cascade-2-diff-gated,1,1,0.033586,15.441,3.155,12.286,540,1596,14673,955,1529.0,1527.0,0.9986919555264879,5,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__medium,cascade-2-diff-gated,2,1,0.034236,16.313,2.189,14.123,540,1622,14673,981,1529.0,1527.0,0.9986919555264879,5,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__medium,cascade-3-diff-gated,0,1,0.050759,21.783,4.281,17.501,1658,1862,18800,680,1529.0,1527.0,0.9986919555264879,5,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__medium,cascade-3-diff-gated,1,1,0.035106,22.165,5.409,16.755,757,1758,23401,674,1529.0,1527.0,0.9986919555264879,5,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__medium,cascade-3-diff-gated,2,1,0.035146,23.571,7.030,16.540,757,1778,23401,671,1529.0,1527.0,0.9986919555264879,5,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__medium,haiku-scratch,0,1,0.009200,5.809,0.560,5.246,5085,823,0,,,,,,,,,,,
c14_config_code__medium,haiku-scratch,1,1,0.008850,5.423,0.571,4.849,5085,753,0,,,,,,,,,,,
c14_config_code__medium,haiku-scratch,2,1,0.008850,5.713,0.900,4.810,5085,753,0,,,,,,,,,,,
c14_config_code__medium,opus-scratch,0,1,0.038627,5.878,1.298,4.577,4931,535,1194,,,,,,,,,,,
c14_config_code__medium,opus-scratch,1,1,0.044738,5.820,1.318,4.500,2,533,1194,,,,,,,,,,,
c14_config_code__medium,opus-scratch,2,1,0.044713,5.780,1.435,4.342,2,532,1194,,,,,,,,,,,
c14_config_code__medium,cascade-2-diff-gated,0,1,0.017639,11.450,1.116,10.334,695,1164,0,744,1859.0,620.0,0.3335126412049489,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__medium,cascade-2-diff-gated,1,1,0.007235,11.054,2.245,8.809,695,1130,8899,744,1859.0,620.0,0.3335126412049489,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__medium,cascade-2-diff-gated,2,1,0.007395,9.530,1.366,8.162,695,1162,8899,744,1859.0,620.0,0.3335126412049489,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__medium,cascade-3-diff-gated,0,1,0.007425,10.112,1.503,8.608,695,1168,8899,745,1859.0,620.0,0.3335126412049489,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__medium,cascade-3-diff-gated,1,1,0.007530,11.173,1.161,10.011,695,1189,8899,744,1859.0,620.0,0.3335126412049489,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__medium,cascade-3-diff-gated,2,1,0.007505,9.667,1.164,8.502,695,1184,8899,745,1859.0,620.0,0.3335126412049489,0,0,0,1,t0:Cok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
