task_id,condition,rep,passed,cost_usd,latency_s,input_tokens,output_tokens,cache_read_tokens,top_tier_output_tokens,changed_file_chars,diff_chars,edit_fraction,draft_failing_tests,first_passing_tier,stopped_early_at_tier,tiers_run,gate_decisions,tiers,error
c06_extract_function__medium,cascade-2-rewrite,1,1,0.024609,14.448,344,1171,10318,641,1420.0,1833.0,1.2908450704225352,1,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c06_extract_function__medium,cascade-3-diff,0,1,0.041157,14.910,1805,1222,10647,75,1327.0,1728.0,1.3021853805576489,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-diff,1,1,0.026745,14.351,347,1225,15293,78,1327.0,1728.0,1.3021853805576489,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-rewrite,0,1,0.037860,14.610,1796,1065,10318,71,1327.0,1728.0,1.3021853805576489,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c06_extract_function__medium,cascade-3-rewrite,1,1,0.024042,13.767,347,1078,14705,57,1327.0,1728.0,1.3021853805576489,1,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-2-diff,0,1,0.152813,19.733,632,1464,0,868,3912.0,1661.0,0.4245910020449898,0,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-diff,1,1,0.037739,12.962,344,1496,31281,900,3929.0,1680.0,0.42758971748536523,0,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-rewrite,0,1,0.146324,16.578,627,1924,13833,1328,3963.0,1712.0,0.43199596265455464,0,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-rewrite,1,1,0.048869,16.128,344,1949,30952,1353,3958.0,1709.0,0.43178372915613944,0,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-3-diff,0,1,0.088647,16.318,1584,1499,31281,493,4006.0,1755.0,0.4380928607089366,0,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-diff,1,1,0.042039,16.681,1099,1516,45021,506,4021.0,1768.0,0.43969161900024867,0,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-rewrite,0,1,0.098695,19.079,1582,1948,30952,938,4025.0,1774.0,0.4407453416149068,0,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-rewrite,1,1,0.052727,23.535,1100,1970,44433,919,4049.0,1799.0,0.44430723635465547,0,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-2-diff,0,1,0.056588,8.784,668,846,0,380,2699.0,1060.0,0.39273805113004817,2,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-diff,1,1,0.017585,7.952,344,837,10641,380,2699.0,1060.0,0.39273805113004817,2,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-rewrite,0,1,0.057481,13.949,663,1176,4744,719,2699.0,1060.0,0.39273805113004817,2,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-2-rewrite,1,1,0.026114,12.210,344,1186,10312,729,2699.0,1060.0,0.39273805113004817,2,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff,0,1,0.036647,13.768,1528,983,10641,40,2699.0,1086.0,0.40237124861059653,2,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-diff,1,1,0.021453,11.548,347,971,15292,22,2699.0,1086.0,0.40237124861059653,2,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-rewrite,0,1,0.037274,14.951,1519,1115,10312,22,2699.0,1086.0,0.40237124861059653,2,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__medium,cascade-3-rewrite,1,1,0.023595,15.084,347,1125,14704,34,2699.0,1086.0,0.40237124861059653,2,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c11_type_changes__large,cascade-2-diff,0,1,0.163416,17.047,646,1972,0,1356,4135.0,2583.0,0.6246674727932285,20,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c11_type_changes__large,cascade-2-diff,1,1,0.049710,16.572,344,1993,30839,1377,4135.0,2583.0,0.6246674727932285,20,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c11_type_changes__large,cascade-2-rewrite,0,1,0.152380,18.986,641,2241,13634,1625,4135.0,2583.0,0.6246674727932285,20,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c11_type_changes__large,cascade-2-rewrite,1,1,0.055765,18.804,344,2243,30510,1627,4135.0,2583.0,0.6246674727932285,20,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c11_type_changes__large,cascade-3-diff,0,1,0.101485,21.180,1256,2076,30839,1184,4135.0,2583.0,0.6246674727932285,20,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c11_type_changes__large,cascade-3-diff,1,1,0.055903,21.480,347,2091,44380,1186,4135.0,2583.0,0.6246674727932285,20,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c11_type_changes__large,cascade-3-rewrite,0,1,0.092832,25.094,2124,2035,30510,59,4135.0,2583.0,0.6246674727932285,20,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c11_type_changes__large,cascade-3-rewrite,1,1,0.049136,25.472,347,2041,43792,65,4135.0,2583.0,0.6246674727932285,20,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c11_type_changes__medium,cascade-2-diff,0,1,0.058668,9.602,600,972,0,475,862.0,1200.0,1.3921113689095128,7,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c11_type_changes__medium,cascade-2-diff,1,1,0.019651,10.109,344,969,10597,472,862.0,1200.0,1.3921113689095128,7,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c11_type_changes__medium,cascade-2-rewrite,0,1,0.049444,8.475,595,903,4711,406,862.0,1200.0,1.3921113689095128,7,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c11_type_changes__medium,cascade-2-rewrite,1,1,0.017880,8.810,344,906,10268,409,862.0,1200.0,1.3921113689095128,7,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c11_type_changes__medium,cascade-3-diff,0,1,0.035356,14.818,1467,955,10597,23,862.0,1200.0,1.3921113689095128,7,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c11_type_changes__medium,cascade-3-diff,1,1,0.020568,10.693,347,954,15215,22,862.0,1200.0,1.3921113689095128,7,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c11_type_changes__medium,cascade-3-rewrite,0,1,0.033123,11.008,1458,885,10268,22,862.0,1200.0,1.3921113689095128,7,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c11_type_changes__medium,cascade-3-rewrite,1,1,0.019520,11.418,347,896,14627,33,862.0,1200.0,1.3921113689095128,7,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__large,cascade-2-diff,0,1,0.147840,11.628,601,1076,0,781,2078.0,1444.0,0.6948989412897016,4,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__large,cascade-2-diff,1,1,0.031774,10.369,344,1048,30978,728,2096.0,1462.0,0.6975190839694656,4,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__large,cascade-2-rewrite,0,1,0.133789,12.203,596,1225,13682,932,2096.0,1481.0,0.7065839694656488,4,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__large,cascade-2-rewrite,1,1,0.036154,13.253,344,1211,30649,916,2096.0,1481.0,0.7065839694656488,4,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__large,cascade-3-diff,0,1,0.091771,25.981,1571,1767,30978,166,2097.0,1462.0,0.6971864568431092,4,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__large,cascade-3-diff,1,1,0.045299,22.676,347,1733,44567,130,2097.0,1462.0,0.6971864568431092,4,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__large,cascade-3-rewrite,0,1,0.080428,16.078,1562,1117,30649,126,2097.0,1462.0,0.6971864568431092,4,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__large,cascade-3-rewrite,1,1,0.036405,17.327,347,1152,43979,141,2097.0,1462.0,0.6971864568431092,4,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__medium,cascade-2-diff,0,1,0.071050,13.161,688,1431,0,969,1529.0,1527.0,0.9986919555264879,5,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__medium,cascade-2-diff,1,1,0.029332,13.470,344,1307,10546,845,1529.0,1527.0,0.9986919555264879,5,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__medium,cascade-2-rewrite,0,1,0.056870,10.331,683,1163,4694,701,1529.0,1527.0,0.9986919555264879,5,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__medium,cascade-2-rewrite,1,1,0.025287,10.736,344,1153,10217,691,1529.0,1527.0,0.9986919555264879,5,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c12_hygiene__medium,cascade-3-diff,0,1,0.046978,15.559,1248,1357,10546,679,1529.0,1527.0,0.9986919555264879,5,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__medium,cascade-3-diff,1,1,0.031815,13.988,347,1351,15147,673,1529.0,1527.0,0.9986919555264879,5,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__medium,cascade-3-rewrite,0,1,0.037440,12.462,1684,1087,10217,25,1517.0,1515.0,0.998681608437706,5,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c12_hygiene__medium,cascade-3-rewrite,1,1,0.023818,15.682,347,1085,14559,23,1517.0,1515.0,0.998681608437706,5,1,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__large,cascade-2-diff,0,1,0.152634,12.490,706,1399,0,826,7196.0,1472.0,0.2045580878265703,5,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__large,cascade-2-diff,1,1,0.032214,15.724,1560,2113,31382,253,12046.0,1733.0,0.14386518346339033,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__large,cascade-2-rewrite,0,1,0.131972,15.731,1555,2151,13836,291,12046.0,1733.0,0.14386518346339033,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__large,cascade-2-rewrite,1,1,0.092294,30.471,701,3681,31053,3088,7196.0,1472.0,0.2045580878265703,5,1,,2,,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__large,cascade-3-diff,0,1,0.088898,16.427,1498,1489,31382,573,7196.0,1472.0,0.2045580878265703,5,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__large,cascade-3-diff,1,1,0.042313,18.894,1488,2224,45125,189,12046.0,1733.0,0.14386518346339033,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__large,cascade-3-rewrite,0,1,0.136425,34.441,1489,3567,31053,2308,7196.0,1472.0,0.2045580878265703,5,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__large,cascade-3-rewrite,1,1,0.091463,35.126,347,3597,44537,2320,7196.0,1472.0,0.2045580878265703,5,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__medium,cascade-2-diff,0,1,0.052591,8.236,922,854,0,110,1859.0,620.0,0.3335126412049489,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__medium,cascade-2-diff,1,1,0.013290,7.801,344,831,10647,87,1859.0,620.0,0.3335126412049489,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__medium,cascade-2-rewrite,0,1,0.045097,8.348,917,856,4733,111,1859.0,620.0,0.3335126412049489,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__medium,cascade-2-rewrite,1,1,0.012969,7.691,344,826,10318,82,1859.0,620.0,0.3335126412049489,0,0,,2,,claude-haiku-4-5|claude-opus-4-8,
c14_config_code__medium,cascade-3-diff,0,1,0.034568,12.569,1035,948,10647,92,1859.0,620.0,0.3335126412049489,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__medium,cascade-3-diff,1,1,0.019581,12.669,347,969,15287,112,1859.0,620.0,0.3335126412049489,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__medium,cascade-3-rewrite,0,1,0.033944,11.875,1031,977,10318,104,1859.0,620.0,0.3335126412049489,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c14_config_code__medium,cascade-3-rewrite,1,1,0.019222,15.691,347,973,14699,99,1859.0,620.0,0.3335126412049489,0,0,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
