task_id,condition,rep,passed,cost_usd,latency_s,input_tokens,output_tokens,cache_read_tokens,top_tier_output_tokens,first_passing_tier,stopped_early_at_tier,tiers_run,gate_decisions,tiers,error
c08_add_feature__large,cascade-3-rewrite,1,1,0.051782,18.779,1087,1916,44433,912,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-rewrite,2,1,0.052822,20.027,1100,1973,44433,924,2,,3,,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-2-diff-gated,0,1,0.054505,20.552,502,1709,31281,848,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-diff-gated,1,1,0.040544,16.243,502,1720,44547,910,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-diff-gated,2,1,0.039214,15.141,502,1646,44547,862,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-rewrite-gated,0,1,0.050918,18.964,502,2130,44218,1336,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-rewrite-gated,1,1,0.051108,20.207,502,2160,44218,1338,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-2-rewrite-gated,2,1,0.051103,19.199,502,2131,44218,1345,1,,2,t0:Nok,claude-haiku-4-5|claude-opus-4-8,
c08_add_feature__large,cascade-3-diff-gated,0,1,0.046464,24.179,1773,1896,71553,465,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-diff-gated,1,1,0.046886,23.691,1770,2045,71553,454,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-diff-gated,2,1,0.049061,24.161,1036,2048,71553,507,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-rewrite-gated,0,1,0.059950,31.883,1041,2561,70965,919,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-rewrite-gated,1,1,0.059326,26.933,1035,2496,70965,926,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
c08_add_feature__large,cascade-3-rewrite-gated,2,1,0.058856,26.077,1035,2410,70965,924,2,,3,t0:Nok;t1:Nok,claude-haiku-4-5|claude-sonnet-4-6|claude-opus-4-8,
