instance_id,repo,n_solved,n_total,pass_rate
pytest-dev__pytest-5495,pytest-dev/pytest,9,72,0.1250
pytest-dev__pytest-7220,pytest-dev/pytest,9,72,0.1250
scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,9,72,0.1250
sympy__sympy-22840,sympy/sympy,9,72,0.1250
sympy__sympy-24909,sympy/sympy,9,72,0.1250
django__django-12308,django/django,10,72,0.1389
django__django-12747,django/django,10,72,0.1389
django__django-16400,django/django,10,72,0.1389
sphinx-doc__sphinx-8435,sphinx-doc/sphinx,10,72,0.1389
sphinx-doc__sphinx-11445,sphinx-doc/sphinx,11,72,0.1528
sympy__sympy-15346,sympy/sympy,11,72,0.1528
sphinx-doc__sphinx-8627,sphinx-doc/sphinx,12,72,0.1667
sympy__sympy-12419,sympy/sympy,12,72,0.1667
django__django-12856,django/django,13,72,0.1806
django__django-13660,django/django,13,72,0.1806
pydata__xarray-4094,pydata/xarray,13,72,0.1806
pylint-dev__pylint-6506,pylint-dev/pylint,13,72,0.1806
sphinx-doc__sphinx-8801,sphinx-doc/sphinx,13,72,0.1806
sympy__sympy-21379,sympy/sympy,13,72,0.1806
matplotlib__matplotlib-25498,matplotlib/matplotlib,14,72,0.1944
pytest-dev__pytest-7168,pytest-dev/pytest,14,72,0.1944
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,14,72,0.1944
sympy__sympy-13031,sympy/sympy,14,72,0.1944
scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,15,72,0.2083
sympy__sympy-14396,sympy/sympy,15,72,0.2083
sympy__sympy-15345,sympy/sympy,15,72,0.2083
matplotlib__matplotlib-24334,matplotlib/matplotlib,16,72,0.2222
scikit-learn__scikit-learn-13497,scikit-learn/scikit-learn,17,72,0.2361
matplotlib__matplotlib-25311,matplotlib/matplotlib,18,72,0.2500
matplotlib__matplotlib-25332,matplotlib/matplotlib,18,72,0.2500
pylint-dev__pylint-7080,pylint-dev/pylint,18,72,0.2500
sympy__sympy-16988,sympy/sympy,18,72,0.2500
matplotlib__matplotlib-23987,matplotlib/matplotlib,19,72,0.2639
sympy__sympy-14817,sympy/sympy,19,72,0.2639
django__django-12125,django/django,20,72,0.2778
django__django-15400,django/django,20,72,0.2778
sympy__sympy-20590,sympy/sympy,20,72,0.2778
sympy__sympy-22005,sympy/sympy,20,72,0.2778
sympy__sympy-16792,sympy/sympy,21,72,0.2917
django__django-11964,django/django,22,72,0.3056
pytest-dev__pytest-11148,pytest-dev/pytest,22,72,0.3056
sphinx-doc__sphinx-10325,sphinx-doc/sphinx,22,72,0.3056
sphinx-doc__sphinx-7975,sphinx-doc/sphinx,22,72,0.3056
django__django-13925,django/django,23,72,0.3194
django__django-14580,django/django,23,72,0.3194
django__django-11422,django/django,24,72,0.3333
sympy__sympy-20442,sympy/sympy,24,72,0.3333
django__django-13033,django/django,25,72,0.3472
django__django-13551,django/django,25,72,0.3472
django__django-10924,django/django,27,72,0.3750
django__django-14017,django/django,28,72,0.3889
django__django-15213,django/django,28,72,0.3889
pylint-dev__pylint-7114,pylint-dev/pylint,28,72,0.3889
pytest-dev__pytest-7490,pytest-dev/pytest,29,72,0.4028
sympy__sympy-13971,sympy/sympy,29,72,0.4028
django__django-11620,django/django,30,72,0.4167
django__django-13315,django/django,30,72,0.4167
django__django-13158,django/django,31,72,0.4306
django__django-13964,django/django,31,72,0.4306
django__django-15498,django/django,31,72,0.4306
django__django-15902,django/django,31,72,0.4306
matplotlib__matplotlib-26011,matplotlib/matplotlib,31,72,0.4306
psf__requests-1963,psf/requests,31,72,0.4306
django__django-11848,django/django,32,72,0.4444
django__django-12284,django/django,32,72,0.4444
django__django-12184,django/django,33,72,0.4583
matplotlib__matplotlib-23562,matplotlib/matplotlib,33,72,0.4583
django__django-13757,django/django,34,72,0.4722
scikit-learn__scikit-learn-15512,scikit-learn/scikit-learn,34,72,0.4722
sympy__sympy-17022,sympy/sympy,34,72,0.4722
matplotlib__matplotlib-25442,matplotlib/matplotlib,35,72,0.4861
sympy__sympy-15609,sympy/sympy,36,72,0.5000
sympy__sympy-15678,sympy/sympy,36,72,0.5000
astropy__astropy-6938,astropy/astropy,37,72,0.5139
django__django-17051,django/django,37,72,0.5139
sympy__sympy-21055,sympy/sympy,37,72,0.5139
sympy__sympy-21614,sympy/sympy,37,72,0.5139
django__django-14999,django/django,38,72,0.5278
django__django-17087,django/django,38,72,0.5278
scikit-learn__scikit-learn-14092,scikit-learn/scikit-learn,38,72,0.5278
django__django-11001,django/django,39,72,0.5417
sympy__sympy-18057,sympy/sympy,39,72,0.5417
pylint-dev__pylint-5859,pylint-dev/pylint,40,72,0.5556
django__django-14411,django/django,41,72,0.5694
scikit-learn__scikit-learn-11281,scikit-learn/scikit-learn,41,72,0.5694
sympy__sympy-23262,sympy/sympy,41,72,0.5694
pylint-dev__pylint-7993,pylint-dev/pylint,42,72,0.5833
astropy__astropy-12907,astropy/astropy,43,72,0.5972
django__django-12915,django/django,43,72,0.5972
django__django-12708,django/django,44,72,0.6111
psf__requests-2674,psf/requests,45,72,0.6250
sympy__sympy-12481,sympy/sympy,45,72,0.6250
sympy__sympy-17139,sympy/sympy,45,72,0.6250
sympy__sympy-17655,sympy/sympy,45,72,0.6250
sympy__sympy-18189,sympy/sympy,45,72,0.6250
sympy__sympy-18532,sympy/sympy,45,72,0.6250
sympy__sympy-24066,sympy/sympy,45,72,0.6250
django__django-11815,django/django,46,72,0.6389
pytest-dev__pytest-5692,pytest-dev/pytest,46,72,0.6389
django__django-13028,django/django,47,72,0.6528
django__django-14608,django/django,47,72,0.6528
django__django-15790,django/django,47,72,0.6528
matplotlib__matplotlib-24149,matplotlib/matplotlib,47,72,0.6528
matplotlib__matplotlib-26020,matplotlib/matplotlib,47,72,0.6528
mwaskom__seaborn-3190,mwaskom/seaborn,47,72,0.6528
scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,47,72,0.6528
scikit-learn__scikit-learn-15535,scikit-learn/scikit-learn,47,72,0.6528
django__django-15814,django/django,48,72,0.6667
psf__requests-3362,psf/requests,48,72,0.6667
psf__requests-863,psf/requests,48,72,0.6667
django__django-14016,django/django,49,72,0.6806
matplotlib__matplotlib-24970,matplotlib/matplotlib,49,72,0.6806
django__django-11049,django/django,50,72,0.6944
django__django-13401,django/django,50,72,0.6944
scikit-learn__scikit-learn-25570,scikit-learn/scikit-learn,50,72,0.6944
sympy__sympy-15011,sympy/sympy,50,72,0.6944
matplotlib__matplotlib-23314,matplotlib/matplotlib,51,72,0.7083
scikit-learn__scikit-learn-13241,scikit-learn/scikit-learn,51,72,0.7083
scikit-learn__scikit-learn-13584,scikit-learn/scikit-learn,51,72,0.7083
sympy__sympy-13471,sympy/sympy,51,72,0.7083
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,52,72,0.7222
sympy__sympy-18621,sympy/sympy,52,72,0.7222
django__django-12497,django/django,53,72,0.7361
django__django-11999,django/django,54,72,0.7500
django__django-13590,django/django,54,72,0.7500
django__django-14787,django/django,54,72,0.7500
matplotlib__matplotlib-23913,matplotlib/matplotlib,54,72,0.7500
psf__requests-2317,psf/requests,54,72,0.7500
pytest-dev__pytest-7432,pytest-dev/pytest,54,72,0.7500
sympy__sympy-20154,sympy/sympy,54,72,0.7500
django__django-12700,django/django,55,72,0.7639
django__django-15789,django/django,55,72,0.7639
sphinx-doc__sphinx-8595,sphinx-doc/sphinx,55,72,0.7639
django__django-12453,django/django,56,72,0.7778
django__django-14672,django/django,56,72,0.7778
sympy__sympy-22714,sympy/sympy,56,72,0.7778
django__django-16046,django/django,57,72,0.7917
scikit-learn__scikit-learn-12471,scikit-learn/scikit-learn,57,72,0.7917
django__django-11583,django/django,59,72,0.8194
django__django-13447,django/django,59,72,0.8194
django__django-13710,django/django,59,72,0.8194
sphinx-doc__sphinx-8713,sphinx-doc/sphinx,59,72,0.8194
django__django-12983,django/django,60,72,0.8333
django__django-15851,django/django,60,72,0.8333
scikit-learn__scikit-learn-13779,scikit-learn/scikit-learn,60,72,0.8333
django__django-12286,django/django,61,72,0.8472
django__django-14238,django/django,61,72,0.8472
scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,61,72,0.8472
django__django-15347,django/django,62,72,0.8611
django__django-16041,django/django,62,72,0.8611
sympy__sympy-13647,sympy/sympy,62,72,0.8611
sympy__sympy-23117,sympy/sympy,62,72,0.8611
sympy__sympy-24213,sympy/sympy,62,72,0.8611
django__django-13230,django/django,63,72,0.8750
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,63,72,0.8750
matplotlib__matplotlib-23964,matplotlib/matplotlib,64,72,0.8889
pydata__xarray-5131,pydata/xarray,64,72,0.8889
scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,64,72,0.8889
astropy__astropy-14995,astropy/astropy,65,72,0.9028
django__django-10914,django/django,65,72,0.9028
django__django-13933,django/django,65,72,0.9028
sympy__sympy-20212,sympy/sympy,65,72,0.9028
sympy__sympy-21847,sympy/sympy,65,72,0.9028
django__django-11179,django/django,66,72,0.9167
pytest-dev__pytest-5227,pytest-dev/pytest,66,72,0.9167
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,66,72,0.9167
django__django-11039,django/django,67,72,0.9306
django__django-14915,django/django,67,72,0.9306
django__django-16139,django/django,67,72,0.9306
django__django-16379,django/django,67,72,0.9306
pytest-dev__pytest-11143,pytest-dev/pytest,67,72,0.9306
pytest-dev__pytest-7373,pytest-dev/pytest,67,72,0.9306
django__django-16595,django/django,68,72,0.9444
sympy__sympy-14774,sympy/sympy,68,72,0.9444
sympy__sympy-24152,sympy/sympy,68,72,0.9444
django__django-11133,django/django,69,72,0.9583
django__django-14382,django/django,69,72,0.9583
mwaskom__seaborn-3010,mwaskom/seaborn,69,72,0.9583
django__django-14752,django/django,70,72,0.9722
django__django-16873,django/django,70,72,0.9722
sympy__sympy-13480,sympy/sympy,70,72,0.9722
django__django-13658,django/django,71,72,0.9861
django__django-14855,django/django,71,72,0.9861
django__django-11099,django/django,72,72,1.0000
django__django-16255,django/django,72,72,1.0000
django__django-16527,django/django,72,72,1.0000
